場所名稱,場所縣市,場所區域,場所地址,場所分類,場所類型,其他類型,場所描述,AED放置地點,AED地點描述,地點LAT,地點LNG,全年全天開放大眾使用,周一至周五起,周一至周五迄,周六起,周六迄,周日起,周日迄,開放使用時間備註,開放時間緊急連絡電話
苗栗農田水利會明德水庫工作站,苗栗縣,頭屋鄉,明德村明德水庫工作站,觀光旅遊地區,開放觀光遊憩活動水庫,,,明德水庫工作站,辦公室出入口處，進入辦公室左側,24.583398,120.885379,X,08:00,17:00,,,,,,037-250770
苗栗縣頭份鎮后庄國民小學,苗栗縣,頭份市,文化里文化街20號,學校、集會場所或特殊機構,國小,,,健康中心,辦公室前的走廊,24.696067,120.898353,X,08:00,16:00,00:00,00:00,,,,663858
台東縣政府,台東縣,台東市,中山路276號,其他,其他場所,公務機關,,台東縣政府,縣府民眾接待室外,22.755833,121.151151,Y,08:00,22:00,08:00,22:00,08:00,22:00,,089-326141#240
國立東華大學-沁月莊學生宿舍,花蓮縣,壽豐鄉,大學路2段2號,學校、集會場所或特殊機構,大專院校,,,沁月莊學生宿舍,進大門左側的管理室外,23.892842,121.541394,X,00:00,00:00,00:00,00:00,00:00,00:00,全日開放供出入校園人員使用,03-8632995
國立卓蘭高級中等學校,苗栗縣,卓蘭鎮,老庄里161號,學校、集會場所或特殊機構,高中職,,,警衛室,警衛室內壁掛於牆上,24.312708,120.831961,X,00:00,23:59,00:00,23:59,00:00,23:59,,04-25892007轉407
臺中市政府地方稅務局(民權分局),台中市,北區,精武路291-3號,其他,其他場所,稅務局,精武路291-3號9樓牆面上,精武路291-3號9樓,民權分局9樓牆面上,24.145691,120.685057,X,08:00,17:30,,,,,,04-22296181
福興武術國民中小學,苗栗縣,通霄鎮,福興里58-2號,學校、集會場所或特殊機構,國小,,,健康中心,健康中心,24.42518,120.727562,X,08:00,16:00,,,,,,037-782984#21
慈濟學校財團法人慈濟科技大學-學生活動中心,花蓮縣,花蓮市,介仁街67號,學校、集會場所或特殊機構,大專院校,,,學生活動中心,於慈濟大學人社院,23.999688,121.573725,X,08:00,20:00,,,,,,03-8572158
苗栗縣立體育場,苗栗縣,苗栗市,經國 路4段79號,休閒場所,體育館(如小巨蛋),,,田徑場正門大廳,大廳櫃檯旁 取用方便,24.577792,120.841775,X,08:00,17:00,,,,,,928975857
交通部觀光局花東縱谷國風景區管理處-羅山遊客中心,花蓮縣,富里鄉,羅山村東湖39號,觀光旅遊地區,國家級風景區,,,羅山遊客中心,遊客中心大門左側,23.201622,121.276088,X,08:30,17:30,08:30,17:30,08:30,17:30,,03-8821725-12
月眉國際開發股份有限公司麗寶樂園,台中市,后里區,福容路3號,觀光旅遊地區,民營遊樂業,,,麗寶樂園(陸)入口遊客服務中心,麗寶樂園(陸)入口遊客服務中心旁,24.32035,120.695114,X,09:30,17:00,09:30,20:00,09:30,20:00,農曆年及暑假延長開放時間至20:00,04-25586088#7081
臺中市愛心家園,台中市,南屯區,東興路一段450號,其他,其他場所,福利服務中心,,一樓服務台附近,一樓入口大廳位於右側,24.131246,120.653969,X,08:00,17:00,08:00,17:00,08:00,17:00,"國定假日及彈性連休假日休館,故不提供使用",04-24713535#1301
臺灣宜蘭地方檢察署,宜蘭縣,宜蘭市,縣政西路3 號,學校、集會場所或特殊機構,法院,,宜蘭地方檢察署宜蘭市縣政西路3 號,宜蘭地方檢察署大廳,宜蘭地方檢察署大廳右側法警室左前方,24.728054,121.759259,X,08:00,23:00,08:00,23:00,08:00,23:00,,03-9251835
國立苑裡高級中學,苗栗縣,苑裡鎮,育才街100號,學校、集會場所或特殊機構,高中職,,國立苑裡高中,健康中心,大門 右側 創新樓 1樓中廊 過後第一間,24.447814,120.65627,X,08:00,17:00,,,,,,037-868680  #319
澎湖縣西嶼鄉公所,澎湖縣,西嶼鄉,池東村72號,其他,其他場所,政府機關,,西嶼鄉公所１樓辦公廳,西嶼鄉公所１樓辦公廳大門旁,23.601714,119.512221,X,08:00,17:30,00:00,00:00,00:00,00:00,,06-9982611
彰化市古月民俗館,彰化縣,彰化市,大同里015鄰中華路５７號,觀光旅遊地區,文化園區,,,古月民俗館二樓入口處,古月民俗館一樓上樓至二樓展場入口處左邊,24.078235,120.542766,X,09:00,17:00,09:00,17:00,09:00,17:00,週一固定休館及民俗節日休館,04-7279937
嘉義縣義竹鄉衛生所,嘉義縣,義竹鄉,仁里村422-1號,其他,其他場所,衛生所,醫療門診大樓1樓掛號室前,醫療門診大樓1樓掛號室前,醫療門診大樓1樓掛號室前,23.337068,120.242821,X,08:00,17:00,,,,,國定假日公休,05-3412032.3415555
國道高速公路西螺服務區北站,雲林縣,西螺鎮,振興里2號,交通要衝,高速公路服務區,,,西螺服務區北站服務台,位於西螺服務區北站後門進入賣場服務台旁,23.788613,120.479514,X,07:00,23:00,07:00,23:00,07:00,23:00,,05-5867722
新北市新莊區公所,新北市,新莊區,中正路176號,其他,其他場所,區公所,,新莊區行政大樓一樓大廳(電梯前),新莊區行政大樓一樓大廳(電梯前),25.035848,121.450542,X,08:00,18:00,,,,,配合辦公時間開放,2992-9891#130
新北市鶯歌區公所,新北市,鶯歌區,仁愛路55號,其他,其他場所,行政機關,,一樓大門口旁,一樓大門口旁,24.95588,121.354505,X,08:00,17:00,,,,,,02-26780202
臺中市北區區公所,台中市,北區,永興街301號,其他,其他場所,區公所行政大樓,,行政大樓3樓,行政大樓3樓民眾休息區之牆邊,24.166102,120.682293,X,08:00,17:00,00:00,00:00,00:00,00:00,,0800-1700
行政院農委會林務局東勢林區管理處合歡山國家森林遊樂區,花蓮縣,秀林鄉,富世村關原65號,觀光旅遊地區,森林遊樂區,,,松雪樓,松雪樓櫃台靠近門口明顯處,24.140944,121.28585,Y,00:00,23:59,00:00,23:59,00:00,23:59,,049-2802980
臺中市立東華國民中學,台中市,東勢區,東關路296號,學校、集會場所或特殊機構,國中,,,中廊後方,中廊後方騎樓左側,24.206578,120.839331,X,00:00,23:59,00:00,23:59,00:00,23:59,,04-25853219轉402
國立臺灣史前文化博物館,台東縣,台東市,博物館路1號,休閒場所,博物館,,,大廳,往二樓展示廳入口旁,22.769455,121.093926,Y,09:00,17:00,09:00,17:00,09:00,17:00,星期一休館,089-381166*278、228
國立清水高級中學,台中市,清水區,中山路90號,學校、集會場所或特殊機構,高中職,,國立清水高級中學,國立清水高級中學弘道樓,國立清水高級中學弘道樓穿堂正下方(學務處旁),24.265276,120.574415,Y,00:00,00:00,00:00,00:00,00:00,00:00,全年開放,04-26222116
國立花蓮高級中學,花蓮縣,花蓮市,民權路42號,學校、集會場所或特殊機構,高中職,,,藝能大樓1樓,藝能大樓1樓左側,23.985429,121.62531,X,08:00,17:10,00:00,00:00,00:00,00:00,,03-8242212
永豐棧酒店,台中市,西屯區,台灣大道二段689號,旅宿場所,飯店,,"本飯店位於台灣大道二段（原中港路）及東興路口
或東興路與大墩二十街口",飯店1F大廳,飯店1F大廳,24.158895,120.655678,Y,06:00,23:30,06:00,23:30,06:00,23:30,,04-23230778
臺中市大安區永安國民小學,台中市,大安區,永安里東西四路252號,學校、集會場所或特殊機構,國小,,校門口警衛室,校門口警衛室,校門口警衛室進門左手邊,24.381707,120.608511,X,06:30,17:30,08:00,17:30,08:00,17:30,,04-26874931
中國醫藥大學,台中市,北區,學士路91號,學校、集會場所或特殊機構,大專院校,,,英才路警衛室內,英才路警衛室內,24.155869,120.680174,X,08:00,17:00,00:00,00:00,00:00,00:00,,04-22053366-1250
臺中市太平區太平國民小學,台中市,太平區,中興路35號,學校、集會場所或特殊機構,國小,,,A棟大樓1F川堂,A棟大樓1F川堂,24.128259,120.717242,X,07:00,18:00,07:00,18:00,07:00,18:00,,04-22783631#727
臺中市清水區公所,台中市,清水區,中社里鎮政路101號,其他,其他場所,臺中市清水區公所,臺中市清水區公所,一樓服務台,臺中市清水區公所，一樓服務台旁,24.268333,120.559855,X,08:00,17:00,00:00,00:00,00:00,00:00,六日不開放,2627-0151
臺中市豐原區福陽國民小學,台中市,豐原區,南陽路綠山巷83號,學校、集會場所或特殊機構,國小,,南陽路往綠山莊方向,川堂,公用電話上方,24.242255,120.735299,X,07:00,17:00,07:00,17:00,07:00,17:00,,04-25291101
遠雄海洋公園-海盜灣,花蓮縣,壽豐鄉,鹽寮村福德189號,觀光旅遊地區,民營遊樂業,,,海盜灣,搭乘海盜船入口處,23.901231,121.603571,X,09:30,17:00,09:00,17:00,09:00,17:00,連續假日開放時間：09:00~17:00,03-8123100*2053
玉山國家公園南安遊客中心,花蓮縣,卓溪鄉,花蓮縣卓溪鄉卓清村83-3號,觀光旅遊地區,國家公園,,遊客中心大地圖旁,遊客中心,遊客中心大地圖旁,23.302591,121.25856,X,09:00,16:30,09:00,16:30,09:00,16:30,休館為每月第二個星期二，遇假日順延一天,03-8887560
臺中市新社區公所,台中市,新社區,復盛里興社街二段28-1號,其他,其他場所,新社區公所,臺中市新社區公所一樓大廳進門右邊(收發室旁),收發室旁,復盛里興社街二段---新社派出所後方,24.233767,120.809441,X,08:00,17:30,00:00,00:00,00:00,00:00,國定假日不對外開放,0939-001431
臺中巿立圖書館石岡分館,台中市,石岡區,明德路175號,休閒場所,圖書館,公共圖書館,,一樓中庭,飲水機旁,24.274135,120.776213,X,08:00,17:30,08:00,17:30,08:00,17:30,"每星期一及國定假日休館,未開放使用",04-25722435
臺中市霧峰區桐林國民小學,台中市,霧峰區,民生路675號,學校、集會場所或特殊機構,國小,,,健康中心外牆,健康中心外牆,24.065919,120.735702,X,07:30,16:00,00:00,00:00,00:00,00:00,國定假日、例假日及學校補休日均不開放,04-23304311
臺中市霧峰區四德國民小學,台中市,霧峰區,四德路504號,學校、集會場所或特殊機構,國小,,"四德路上,圍牆邊種大王椰子樹,對面有7-11便利店.",台中市霧峰區四德國小川堂電梯邊牆上,川堂電梯邊牆上,24.060812,120.668011,X,06:00,19:30,06:00,19:30,06:00,19:30,,(04)23393374-622
新北市深坑區衛生所,新北市,深坑區,深坑街165號,其他,其他場所,醫療診所,深坑老街尾，中正橋旁,1樓大廳進門右側,1樓大廳進門右側,25.001146,121.612568,X,08:00,17:00,,,,,,2662-1567轉319
臺中市太平區新光國民小學,台中市,太平區,新興路200號,學校、集會場所或特殊機構,國小,,由校門口進入，經川堂右轉即可看到總務處走廊左側安置AED標誌牌,總務處外走廊,學校大門進川堂後右轉總務處外走廊,24.159788,120.706374,X,07:00,18:00,00:00,00:00,00:00,00:00,周六及周日校園保全未開放,04-23956005-770
臺中市北屯區文心國民小學,台中市,北屯區,文心路四段575號,學校、集會場所或特殊機構,國小,,,穿堂,穿堂,24.173164,120.68267,X,05:30,20:00,05:30,20:00,05:30,20:00,,953331415
台中市南屯區鎮平國民小學,台中市,南屯區,黎明路一段425號,學校、集會場所或特殊機構,國小,,,川堂,校門口一進去川堂右手邊,24.121578,120.62911,Y,06:00,20:00,06:00,20:00,06:00,20:00,,24792122-780
臺中市西區忠明國民小學,台中市,西區,台灣大道2段556號,學校、集會場所或特殊機構,國小,,,忠明國小警衛室旁,從台灣大道的南門進來警衛室旁,24.159488,120.660148,X,17:00,20:30,05:00,20:30,05:00,20:30,星期六日12:00至16:00不對外開放,04-23172860-723
交通部觀光局參山國家風景區管理處,台中市,霧峰區,中正路738號,觀光旅遊地區,國家級風景區,辦公場所,教育部學前署辦公區右棟大樓,4樓辦公室電梯口,4樓辦公室電梯口,24.058248,120.698426,X,08:30,17:30,00:00,00:00,00:00,00:00,星期六、日及例假日無開放,04-23312678*526
交通部觀光局參山國家風景區管理處(梨山文物陳列館),台中市,和平區,梨山里福壽路14號,觀光旅遊地區,文化園區,,文物陳列館內(進入大門右前方牆面上),大門內正前方,文物館內(進入大門右前方牆面上),24.252543,121.256506,X,08:30,17:30,08:30,17:30,08:30,17:30,,04-23312678*526
交通部觀光局參山國家風景區管理處(南庄遊客中心),苗栗縣,南庄鄉,東村大同路43號,觀光旅遊地區,國家級風景區,,南庄鄉公所及南庄老街附近,遊客中心內,遊客中心1樓大門入口正前方左側牆面上,24.598095,120.999797,X,08:30,17:30,08:30,17:30,08:30,17:30,,04-23312678*526
臺中市政府警察局第一分局西區派出所,台中市,西區,三民路一段178號,其他,其他場所,警察局,臺中市政府警察局第一分局，位於臺中科技大學民生校區(原臺中護專)對面，受理人民報案申請及為民服務等事項之公務機關,入口值班台旁牆上,"入口值班台旁牆上
入門左側牆上",24.138518,120.675798,X,00:00,23:55,00:00,23:55,00:00,23:55,本場所24小時開放,110
客家委員會客家文化發展中心,屏東縣,內埔鄉,建興村信義路588號,觀光旅遊地區,文化園區,,,行政中心一樓服務台,服務台左側,22.658419,120.558816,X,09:00,17:00,09:00,17:00,09:00,17:00,星期二休館,08-7230100-930
臺中市大雅區大明國民小學,台中市,大雅區,中清路四段158號,學校、集會場所或特殊機構,國小,,,健康中心旁樓梯口,健康中心與校長室旁1樓樓梯口,24.228125,120.643414,X,16:30,18:00,16:00,18:00,16:00,18:00,,04-25651300
臺中市清水區高美國民小學,台中市,清水區,高美里護岸路37號,學校、集會場所或特殊機構,國小,,,司令臺後中走廊,司令臺後中走廊,24.311715,120.562219,X,08:00,17:00,00:00,00:00,00:00,00:00,,26112505
苗栗縣頭份鎮頭份國民小學,苗栗縣,頭份鎮,中正路219號,學校、集會場所或特殊機構,國小,,,頭份國小川堂,頭份國小前棟大樓川堂左側,24.687872,120.912293,X,00:00,00:00,00:00,00:00,00:00,00:00,,037-663020#13
國立臺灣藝術教育館,台北市,中正區,南海路43號,休閒場所,美術館,,"建國中學對面南海學園,蓮花池後方，口字型建築物",南海書院1樓警衛室旁,置放於本館南海書院1樓警衛室旁。,25.032293,121.512074,X,08:00,18:00,09:00,17:00,09:00,17:00,休館日：週一、農曆除夕、大年初一(若遇特殊情況另行公告),02-23110574-157
新莊區公所福營行政中心,新北市,新莊區,四維路9號,其他,其他場所,行政中心,新莊區公所福營行政中心,福營行政大樓一樓大廳(飲水機旁),福營行政大樓一樓大廳(飲水機旁),25.024545,121.42381,X,08:00,18:00,,,,,配合辦公時間開放,2208-5775#102
臺中市北區立人國民小學,台中市,北區,北平路一段60號,學校、集會場所或特殊機構,國小,,,達人樓川堂,達人樓川堂,24.171566,120.668865,X,16:30,17:30,16:30,18:00,16:30,18:00,,04-22956975
中國文化大學 大恩館,台北市,士林區,華岡路55號,學校、集會場所或特殊機構,大專院校,,,大恩館,中國文化大學校本部大恩館2樓，學務處旁,25.136543,121.538749,X,07:00,22:00,07:00,21:00,07:00,17:00,星期日僅開放側門，寒暑假開放時間另行公告,02-28610511#11911
長庚學校財團法人長庚科技大學,桃園市,龜山區,文化一路261號,學校、集會場所或特殊機構,大專院校,,,第一教學大樓1樓,第一教學大樓1樓川堂衛保組辦公室旁,25.033485,121.387643,X,07:40,16:20,00:00,00:00,00:00,00:00,配合國定例假日休假，其他為正常上班時間開放。,03-2118999轉5812
臺北市立大學博愛校區,台北市,中正區,愛國西路1號,學校、集會場所或特殊機構,大專院校,,臺北市立大學博愛校區勤樸樓健康促進中心門外,勤樸樓一樓健康促進中心門外,臺北市立大學博愛校區勤樸樓健康促進中心門外，本校24小時對外開放，可由愛國西路正門口進入。本校週一～週五08：00～17：00有受過AED訓練之護理人員值班。,25.037044,121.51333,X,00:00,23:59,00:00,23:59,00:00,23:59,,0920-300-456
臺中市東區樂業國民小學,台中市,東區,樂業路60號,學校、集會場所或特殊機構,國小,,,樂學樓一樓穿堂,樂學樓一樓中間穿堂公共電話斜對面,24.137967,120.694414,X,16:30,19:00,05:30,19:00,05:30,19:00,週一~週五:上午5:30~7:00,04-22121293ˇ780
臺中市豐原區富春國民小學,台中市,豐原區,中山路455號,學校、集會場所或特殊機構,國小,,,警衛室,校門口警衛室外牆,24.2522,120.714078,X,00:00,23:59,00:00,23:59,00:00,23:59,,04-25222542
臺中市立光正國民中學,台中市,大里區,鳳凰路68號,學校、集會場所或特殊機構,國中,,位於大里工業區旁，與台糖加油站相鄰。,學校1樓健康中心的外側,進入校門後，往右側校舍走上去 ，即可見。,24.096178,120.718063,X,08:00,16:30,00:00,00:00,00:00,00:00,,04-24911599＃307
新北市立圖書館三重分館,新北市,三重區,自強路一段158號,休閒場所,圖書館,,,新北市三重區自強路一段158號1樓,1樓綜合服務台右後方,25.066,121.495992,N,08:30,21:00,08:30,21:00,08:30,17:00,星期一開放時間至17:00,29814887
臺中市后里區育英國小,台中市,后里區,臺中市后里區四月路23號,學校、集會場所或特殊機構,國小,,,警衛室,放置於警衛室門口之牆壁,24.316667,120.716667,X,17:00,19:00,07:00,18:00,,,星期日公休,25562374-179
臺中市立惠文高級中學,台中市,南屯區,公益路二段298號,學校、集會場所或特殊機構,高中職,,惠文高中,1樓川堂,面對川堂的東面(右側)牆壁,24.151526,120.639975,Y,00:00,23:59,00:00,23:59,00:00,23:59,,(04)22503928#138
臺中市太平區建平國民小學,台中市,太平區,精美路201號,學校、集會場所或特殊機構,國小,,長億加油站對面7-11.巷子進去約200公尺,中庭左側(總務處旁),學校正門進入的中庭左側,24.124155,120.724691,X,06:00,07:00,08:00,20:00,08:00,20:00,星期一至星期五17:30--22:00對外開放；除夕.過年期間全日休息不開放,04-22779532*699
臺中市立豐東國民中學,台中市,豐原區,豐東路75號,學校、集會場所或特殊機構,國中,,,北棟一樓中庭電梯前穿堂,大門口直行至中庭右側電梯前穿堂,24.247688,120.729603,X,06:00,18:30,06:00,08:00,16:00,18:30,星期六.日開放時間 06:00-08:00 16:00-18:30,04-25221743
義守大學,高雄市,大樹區,學城路一段1號,學校、集會場所或特殊機構,大專院校,,,義守大學校本部男一宿宿舍管理站,義守大學校本部男一宿宿舍管理站入口處右側牆壁上,22.724252,120.405012,X,00:00,23:59,00:00,23:59,00:00,23:59,24小時全天使用!,07-6577711#2243
義守大學,高雄市,燕巢區,角宿里義大路8號,學校、集會場所或特殊機構,大專院校,,,義守大學醫學院區宿舍管站,義守大學醫學院區宿舍管站面對大廳櫃台左側,22.763118,120.362901,X,00:00,23:59,00:00,23:59,00:00,23:59,24小時全天開放使用!,07-6151100轉3224
臺中市私立弘文高級中學,台中市,潭子區,弘文街100號,學校、集會場所或特殊機構,高中職,,,教官室旁穿堂,教官室與健康中心中間之穿堂,24.226013,120.7048,X,08:00,21:00,08:00,17:00,00:00,00:00,星期日不開放,04-25340011
國立屏東大學(屏商校區),屏東縣,屏東市,民生東路51號,學校、集會場所或特殊機構,大專院校,,,屏商校區警衛室,屏商校區警衛室,22.659399,120.511747,X,00:00,23:59,00:00,23:59,00:00,23:59,全天開放,08-7663800 #12301
台中市博屋瑪國民小學,台中市,和平區,達觀里東崎路一段育英巷6號,學校、集會場所或特殊機構,國小,,,保健室門口,入學校門口走上左邊的樓梯左邊就是保健室,90,24.32787,X,08:00,16:00,00:00,00:00,00:00,00:00,,04-25911487
中原大學,桃園市,中壢區,中北路200號,學校、集會場所或特殊機構,大專院校,,,全人村衛保組,中原大學全人村北棟一樓衛保組門口,24.958923,121.242,X,08:30,17:00,,,,,,03-2652163
亞洲大學,台中市,霧峰區,柳豐路500號,學校、集會場所或特殊機構,大專院校,,,管理大樓衛生保健組,管理大樓1F衛生保健組外牆(M111),24.047246,120.686723,X,00:00,23:59,00:00,23:59,00:00,23:59,,04-23323456分機3253
宜蘭縣三星鄉衛生所,宜蘭縣,三星鄉,三星路五段70號,其他,其他場所,衛生所,宜蘭縣三星鄉衛生所,宜蘭縣三星鄉衛生所,宜蘭縣三星鄉衛生所.一樓候診大廳.,24.666132,121.651575,X,08:00,17:30,08:00,12:00,,,,39892227
國立臺東專科學校,台東縣,台東市,正氣北路889號,學校、集會場所或特殊機構,大專院校,,,健康中心,保健室門口,22.757392,121.126084,X,08:00,17:30,,,,,,089-226389
中原大學,桃園市,中壢區,中北路200號,學校、集會場所或特殊機構,大專院校,,,中原大學體育館,中原大學體育館1樓門口,24.960071,121.241856,Y,08:30,17:00,,,,,,03-2652163
臺中市南區樹義國小,台中市,南區,福田路11號,學校、集會場所或特殊機構,國小,,樹義國小,健康中心,一樓川堂，健康中心門口,24.111355,120.657649,X,06:00,21:00,06:00,21:00,06:00,21:00,,04-22657298
臺中市豐原區合作國民小學,台中市,豐原區,西勢路410號,學校、集會場所或特殊機構,國小,,,勵志樓穿堂,本校西勢路大門進入之勵志樓穿堂,24.240008,120.703478,X,06:00,18:00,06:30,09:00,06:30,09:00,星期六日下午另有16：30至18：30,953954159
臺中市大甲區文昌國民小學,台中市,大甲區,育德路113號,學校、集會場所或特殊機構,國小,,,學校幼兒園電梯旁,學校幼兒園電梯旁,24.347998,120.624391,Y,07:00,18:00,07:00,18:00,07:00,18:00,,04-26872076
臺中市北區賴厝國民小學,台中市,北區,漢口路四段168號,學校、集會場所或特殊機構,國小,,健康中心,健康中心,校園ㄧ樓健康中心,24.166353,120.678312,X,07:30,16:30,00:00,00:00,00:00,00:00,教職員工及學童使用,22302388#720
臺中市清水區東山國民小學,台中市,清水區,神清路東山里6-1號,學校、集會場所或特殊機構,國小,,,健康中心,健康中心外側,24.276074,120.634378,X,17:30,18:30,07:30,18:30,07:30,18:30,,04-26200517#14
